id,label,indegree,outdegree,degree,modularity_class,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering
23145,10125353,7,11,18,5,46,70,116,7,0.366440933,0.3987533,1173.455956,0.001338916,0.160256416
23206,13500833,23,16,39,3,250,145,395,6,0.348604152,0.381690623,1061.440228,0.003858545,0.101851851
23429,14096118,17,18,35,3,140,139,279,5,0.400823045,0.435489391,1661.504379,0.003712212,0.230952382
23545,13113736,6,7,13,3,41,58,99,6,0.327065144,0.350444901,80.00365755,0.001503371,0.357142866
23576,10777800,4,3,7,1,32,31,63,7,0.288849348,0.309044686,506.2499229,0.001103205,0.416666657
23778,12034817,34,38,72,1,369,382,751,6,0.360740741,0.413278576,6676.588876,0.006205315,0.117391303
24014,11209552,19,10,29,1,179,79,258,6,0.329499323,0.35862423,1250.832254,0.003856284,0.229437232
24171,13010915,33,22,55,3,274,151,425,6,0.368939394,0.405646817,1961.37826,0.005463987,0.09530583
24796,12927327,7,13,20,3,57,101,158,6,0.35111752,0.382169747,1399.083181,0.00134151,0.006410256
25044,2460501,19,11,30,1,152,76,228,6,0.347113329,0.375838467,1905.344984,0.003447718,0.088932805
25208,14090217,18,30,48,5,178,312,490,6,0.386507937,0.434531143,1409.251257,0.002819343,0.191287875
25294,14389167,22,30,52,5,281,400,681,6,0.401153213,0.446440794,3148.337911,0.003996969,0.203629032
25380,13096902,33,33,66,5,314,285,599,6,0.408900084,0.452566735,3593.205356,0.005367301,0.158033833
25586,12849064,6,7,13,1,41,49,90,6,0.329499323,0.356365503,810.1545549,0.002006927,0.023809524
25944,12458379,11,9,20,1,72,60,132,5,0.361275964,0.386960986,493.2670647,0.002001512,0.200000003
